20,"Deadwood Tobacco Company Sturgis 2014 Rat Bike Limited Edition","6","50","DR","SEC","HAB","","",
20,"Deadwood Tobacco Company Sweet Jane Crazy Alice","4","52","NIC","BRA/HON/NIC","NIC","Maduro","Mild-Medium",
20,"Deadwood Tobacco Company Sweet Jane Fat Bottom Betty","5","50","NIC","BRA/HON/NIC","NIC","Maduro","Mild-Medium",
20,"Deadwood Tobacco Company Sweet Jane Fat Bottom Betty 2014","6","54","NIC","BRA/HON/NIC","NIC","Maduro","Mild-Medium",
20,"Deadwood Tobacco Company Sweet Jane Limited Edition 2011","5","50","NIC","BRA/HON/NIC","NIC","Maduro","Mild-Medium",
20,"Deadwood Tobacco Company Sweet Jane Limited Edition 2012","5.5","48","NIC","BRA/HON/NIC","NIC","Maduro","Mild-Medium",
21,"Dean’s Large Cigars Cherry","","","USA","","","","Mild",
21,"Dean’s Large Cigars Chocolate","","","USA","","","","Mild",
21,"Dean’s Large Cigars Full Flavor","","","USA","","","","Mild-Medium",
21,"Dean’s Large Cigars Menthol","","","USA","","","","Mild",
21,"Dean’s Large Cigars Mild","","","USA","","","","Mild",
21,"Dean’s Large Cigars Peach","","","USA","","","","Mild",
21,"Dean’s Large Cigars Rum","","","USA","","","","Mild",
21,"Dean’s Large Cigars Vanilla","","","USA","","","","Mild",
21,"Dean’s Large Cigars Wild Berry","","","USA","","","","Mild",
22,"Dean's Cherry Filtered Cigars","4","","USA","","","","",
22,"Dean's Chocolate Filtered Cigars","4","","USA","","","","",
22,"Dean's Full Flavor Filtered Cigars","4","","","","","","Full",
22,"Dean's Menthol Filtered Cigars","4","","","","","","",
22,"Dean's Mild Filtered Cigars","4","","USA","","","","Mild",
22,"Dean's Peach Filtered Cigars","4","","","","","","",
22,"Dean's Rum Filtered Cigars","4","","","","","","",
22,"Dean's Smokers Churchill","7","44","USA","CT/HON/NIC","CTS/USA","Colorado Claro","Mild",
22,"Dean's Smokers Cigarillo","4.5","20","USA","CT/HON/NIC","CTS/USA","Colorado Claro","Mild",
22,"Dean's Smokers Corona","5.5","40","USA","CT/HON/NIC","CTS/USA","Colorado Claro","Mild",
22,"Dean's Smokers Robusto","4.75","48","USA","CT/HON/NIC","CTS/USA","Colorado Claro","Mild",
22,"Dean's Smokers Toro","6","48","USA","CT/HON/NIC","CTS/USA","Colorado Claro","Mild",
22,"Dean's Vanilla Filtered Cigars","4","","","","","","",
22,"Dean's Wild Berry Filtered Cigars","4","","USA","","","","",
23,"Debonaire 33rd Degree Maduro","9","50","DR","DR/NIC","CTB","Maduro","Medium-Full",
23,"Debonaire Belicoso Habano","6","54","DR","DR","NIC","Colorado","Medium",
23,"Debonaire Belicoso Maduro","6","54","DR","DR/NIC","CTB","Maduro","Medium-Full",
23,"Debonaire First Degree Habano","4","44","DR","DR","NIC","Colorado","Medium",
23,"Debonaire First Degree Maduro","4","44","DR","DR/NIC","CTB","Maduro","Medium-Full",
23,"Debonaire Robusto Habano","5.25","50","DR","DR","NIC","Colorado","Medium",
