16,"Domeza Corojo Toro","6","50","NIC","NIC","COR/ECU","Colorado Maduro","Medium",
16,"Domeza Corojo Torpedo","6","52","NIC","NIC","COR/ECU","Colorado Maduro","Medium",
16,"Domeza Habano Reserve Churchill","7","50","NIC","DR/NIC","HAB","Colorado Maduro","Medium-Full",
16,"Domeza Habano Reserve Gran Toro","6","60","NIC","DR/NIC","HAB","Colorado Maduro","Medium-Full",
16,"Domeza Habano Reserve Robusto","5","50","NIC","DR/NIC","HAB","Colorado Maduro","Medium-Full",
16,"Domeza Habano Reserve Toro","6","50","NIC","DR/NIC","HAB","Colorado Maduro","Medium-Full",
16,"Domeza Habano Reserve Torpedo","6","52","NIC","DR/NIC","HAB","Colorado Maduro","Medium-Full",
17,"Domingold Belicoso","6","52","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Churchill","7","50","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Churchill","7","50","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Corona","5.5","42","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Corona","5.5","42","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Lonsdale","6.5","42","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Lonsdale","6.5","42","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Phat","5","65","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Phat","5","65","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Robusto","5","50","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Robusto","5","50","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Toro","6","50","DR","BRA/DR/NIC","CTB","Maduro","Medium",
17,"Domingold Toro","6","50","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Torpedo","6.5","52","DR","BRA/DR/NIC","CAM","Colorado Claro","Medium",
17,"Domingold Torpedo","6.5","52","DR","BRA/DR/NIC","CTB","Maduro","Medium",
18,"Dominican 3rds Corona","5.5","42","DR","DR","ECU","Colorado Maduro","Medium",
19,"Dominican Big Leaguer Anniversary","6.5","54","DR","DR/NIC","MEX","Maduro","Medium-Full",
20,"Dominican Blanco (Best Cigar Prices) Churchill Bundle Connecticut","7.5","49","DR","","CT","Colorado Claro","Mild",
20,"Dominican Blanco (Best Cigar Prices) Robusto Bundle Connecticut","5","50","DR","","CT","Colorado Claro","Mild",
20,"Dominican Blanco (Best Cigar Prices) Toro Bundle Connecticut","6","50","DR","","CT","Colorado Claro","Mild",
20,"Dominican Blanco (Best Cigar Prices) Torpedo Bundle Connecticut","6.5","50","DR","","CT","Colorado Claro","Mild",
21,"Dominican Bundles (Antillian Cigar Corp) Babies Maduro","4.5","32","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Babies Natural","4.5","32","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Babies Sumatran","4.5","32","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Churchill Maduro","6.87","50","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Churchill Natural","6.87","50","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Churchill Sumatran","6.87","50","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Double Magnum Maduro","6.5","60","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Double Magnum Natural","6.5","60","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Double Magnum Sumatran","6.5","60","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Gigante Maduro","8.5","52","DR","DR","CT","Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Gigante Natural","8.5","52","DR","DR","CT","Colorado Claro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) Gigante Sumatran","8.5","52","DR","DR","INDO","Colorado Maduro","Medium",
21,"Dominican Bundles (Antillian Cigar Corp) No. 1 Maduro","6.75","44","DR","DR","CT","Maduro","Medium",
